Date,Campaign Name,AdSet Name,Ad Name,Ad ID,Objective,Placement,Spend, Impressions ,Clicks
2021-10-01,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Slow-Mo Video,2348438397,Brand Awareness,Facebook+Instagram,$885.85,"  62,649 ",59
2021-10-01,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Slow-Mo Video,2341968907,Brand Awareness,Facebook+Instagram,$800.26,"  310,178 ",55
2021-10-01,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Slow-Mo Video,2344482216,Brand Awareness,Facebook+Instagram,"$2,069.89","  663,426 ",172
2021-10-01,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Slow-Mo Video,2343771880,Brand Awareness,Facebook+Instagram,$886.56,"  272,788 ",71
2021-10-01,Brand Awareness - Facebook+Instagram,Website Visitors,Slow-Mo Video,2348352637,Brand Awareness,Facebook+Instagram,$539.40,"  137,954 ",59
2021-10-01,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Chocolate Chunk Video,2340195723,Brand Awareness,Facebook+Instagram,$959.62,"  376,322 ",67
2021-10-01,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Chocolate Chunk Video,2345041086,Brand Awareness,Facebook+Instagram,$900.51,"  355,933 ",60
2021-10-01,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Chocolate Chunk Video,2344439122,Brand Awareness,Facebook+Instagram,"$2,098.39","  655,747 ",162
2021-10-01,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Chocolate Chunk Video,2342514859,Brand Awareness,Facebook+Instagram,$738.06,"  219,661 ",57
2021-10-01,Brand Awareness - Facebook+Instagram,Website Visitors,Chocolate Chunk Video,2340153859,Brand Awareness,Facebook+Instagram,$550.60,"  146,048 ",59
2021-10-01,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Chocolate Chunk Carousel,2348802358,Brand Awareness,Facebook+Instagram,$844.14,"  294,125 ",57
2021-10-01,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Chocolate Chunk Carousel,2344469921,Brand Awareness,Facebook+Instagram,$944.93,"  341,130 ",66
2021-10-01,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Chocolate Chunk Carousel,2343756859,Brand Awareness,Facebook+Instagram,"$2,198.45","  718,448 ",171
2021-10-01,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Chocolate Chunk Carousel,2343645835,Brand Awareness,Facebook+Instagram,$818.67,"  253,458 ",66
2021-10-01,Brand Awareness - Facebook+Instagram,Website Visitors,Chocolate Chunk Carousel,2343145229,Brand Awareness,Facebook+Instagram,$514.48,"  150,433 ",57
2021-10-01,Brand Awareness - Instagram Stories,Cookie Interests - 18-34,Cookie Poll,2341547820,Brand Awareness,Instagram Stories,$311.25,"  165,559 ",20
2021-10-01,Brand Awareness - Instagram Stories,Cookie Interests - 25-34,Cookie Poll,2343120456,Brand Awareness,Instagram Stories,$314.50,"  166,402 ",20
2021-10-01,Brand Awareness - Instagram Stories,Purchaser Lookalike Audience 2-5%,Cookie Poll,2344337612,Brand Awareness,Instagram Stories,$741.05,"  323,603 ",56
2021-10-01,Brand Awareness - Instagram Stories,Purchaser Lookalike Audience 1%,Cookie Poll,2345905323,Brand Awareness,Instagram Stories,$240.44,"  96,176 ",18
2021-10-01,Brand Awareness - Instagram Stories,Website Visitors,Cookie Poll,2341713241,Brand Awareness,Instagram Stories,$175.04,"  62,292 ",17
2021-10-02,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Slow-Mo Video,2348438397,Brand Awareness,Facebook+Instagram,$897.68,"  305,333 ",63
2021-10-02,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Slow-Mo Video,2341968907,Brand Awareness,Facebook+Instagram,$921.22,"  333,775 ",63
2021-10-02,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Slow-Mo Video,2344482216,Brand Awareness,Facebook+Instagram,"$2,302.74","  726,416 ",182
2021-10-02,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Slow-Mo Video,2343771880,Brand Awareness,Facebook+Instagram,$753.09,"  224,134 ",59
2021-10-02,Brand Awareness - Facebook+Instagram,Website Visitors,Slow-Mo Video,2348352637,Brand Awareness,Facebook+Instagram,$578.28,"  149,041 ",61
2021-10-02,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Chocolate Chunk Video,2340195723,Brand Awareness,Facebook+Instagram,$838.97,"  303,975 ",58
2021-10-02,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Chocolate Chunk Video,2345041086,Brand Awareness,Facebook+Instagram,$954.28,"  365,625 ",66
2021-10-02,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Chocolate Chunk Video,2344439122,Brand Awareness,Facebook+Instagram,"$2,427.49","  773,086 ",193
2021-10-02,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Chocolate Chunk Video,2342514859,Brand Awareness,Facebook+Instagram,$713.62,"  208,661 ",59
2021-10-02,Brand Awareness - Facebook+Instagram,Website Visitors,Chocolate Chunk Video,2340153859,Brand Awareness,Facebook+Instagram,$563.57,"  153,981 ",61
2021-10-02,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Chocolate Chunk Carousel,2348802358,Brand Awareness,Facebook+Instagram,$946.95,"  352,026 ",66
2021-10-02,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Chocolate Chunk Carousel,2344469921,Brand Awareness,Facebook+Instagram,$981.89,"  366,377 ",68
2021-10-02,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Chocolate Chunk Carousel,2343756859,Brand Awareness,Facebook+Instagram,"$2,428.58","  791,068 ",202
2021-10-02,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Chocolate Chunk Carousel,2343645835,Brand Awareness,Facebook+Instagram,$831.24,"  255,766 ",69
2021-10-02,Brand Awareness - Facebook+Instagram,Website Visitors,Chocolate Chunk Carousel,2343145229,Brand Awareness,Facebook+Instagram,$588.15,"  162,025 ",65
2021-10-02,Brand Awareness - Instagram Stories,Cookie Interests - 18-34,Cookie Poll,2341547820,Brand Awareness,Instagram Stories,$303.92,"  161,660 ",19
2021-10-02,Brand Awareness - Instagram Stories,Cookie Interests - 25-34,Cookie Poll,2343120456,Brand Awareness,Instagram Stories,$322.60,"  150,748 ",20
2021-10-02,Brand Awareness - Instagram Stories,Purchaser Lookalike Audience 2-5%,Cookie Poll,2344337612,Brand Awareness,Instagram Stories,$825.16,"  346,706 ",59
2021-10-02,Brand Awareness - Instagram Stories,Purchaser Lookalike Audience 1%,Cookie Poll,2345905323,Brand Awareness,Instagram Stories,$243.57,"  99,824 ",17
2021-10-02,Brand Awareness - Instagram Stories,Website Visitors,Cookie Poll,2341713241,Brand Awareness,Instagram Stories,$177.37,"  61,162 ",18
2021-10-03,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Slow-Mo Video,2348438397,Brand Awareness,Facebook+Instagram,$828.78,"  278,114 ",58
2021-10-03,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Slow-Mo Video,2341968907,Brand Awareness,Facebook+Instagram,$965.25,"  323,909 ",65
2021-10-03,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Slow-Mo Video,2344482216,Brand Awareness,Facebook+Instagram,"$2,342.58","  763,055 ",182
2021-10-03,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Slow-Mo Video,2343771880,Brand Awareness,Facebook+Instagram,$737.47,"  213,142 ",59
2021-10-03,Brand Awareness - Facebook+Instagram,Website Visitors,Slow-Mo Video,2348352637,Brand Awareness,Facebook+Instagram,$580.55,"  145,138 ",62
2021-10-03,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Chocolate Chunk Video,2340195723,Brand Awareness,Facebook+Instagram,$913.10,"  335,699 ",63
2021-10-03,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Chocolate Chunk Video,2345041086,Brand Awareness,Facebook+Instagram,$996.32,"  375,970 ",68
2021-10-03,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Chocolate Chunk Video,2344439122,Brand Awareness,Facebook+Instagram,"$2,345.91","  754,312 ",181
2021-10-03,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Chocolate Chunk Video,2342514859,Brand Awareness,Facebook+Instagram,$787.00,"  239,210 ",64
2021-10-03,Brand Awareness - Facebook+Instagram,Website Visitors,Chocolate Chunk Video,2340153859,Brand Awareness,Facebook+Instagram,$534.25,"  145,177 ",54
2021-10-03,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Chocolate Chunk Carousel,2348802358,Brand Awareness,Facebook+Instagram,$972.86,"  356,359 ",66
2021-10-03,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Chocolate Chunk Carousel,2344469921,Brand Awareness,Facebook+Instagram,$846.27,"  334,494 ",60
2021-10-03,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Chocolate Chunk Carousel,2343756859,Brand Awareness,Facebook+Instagram,"$2,469.31","  796,552 ",201
2021-10-03,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Chocolate Chunk Carousel,2343645835,Brand Awareness,Facebook+Instagram,$882.37,"  261,831 ",73
2021-10-03,Brand Awareness - Facebook+Instagram,Website Visitors,Chocolate Chunk Carousel,2343145229,Brand Awareness,Facebook+Instagram,$567.19,"  165,845 ",60
2021-10-03,Brand Awareness - Instagram Stories,Cookie Interests - 18-34,Cookie Poll,2341547820,Brand Awareness,Instagram Stories,$272.09,"  134,034 ",17
2021-10-03,Brand Awareness - Instagram Stories,Cookie Interests - 25-34,Cookie Poll,2343120456,Brand Awareness,Instagram Stories,$307.95,"  147,344 ",20
2021-10-03,Brand Awareness - Instagram Stories,Purchaser Lookalike Audience 2-5%,Cookie Poll,2344337612,Brand Awareness,Instagram Stories,$743.51,"  326,101 ",54
2021-10-03,Brand Awareness - Instagram Stories,Purchaser Lookalike Audience 1%,Cookie Poll,2345905323,Brand Awareness,Instagram Stories,$285.78,"  113,405 ",21
2021-10-03,Brand Awareness - Instagram Stories,Website Visitors,Cookie Poll,2341713241,Brand Awareness,Instagram Stories,$193.95,"  71,305 ",19
2021-10-04,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Slow-Mo Video,2348438397,Brand Awareness,Facebook+Instagram,$907.11,"  358,542 ",63
2021-10-04,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Slow-Mo Video,2341968907,Brand Awareness,Facebook+Instagram,$908.82,"  353,626 ",63
2021-10-04,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Slow-Mo Video,2344482216,Brand Awareness,Facebook+Instagram,"$2,287.29","  759,897 ",180
2021-10-04,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Slow-Mo Video,2343771880,Brand Awareness,Facebook+Instagram,$877.43,"  269,978 ",71
2021-10-04,Brand Awareness - Facebook+Instagram,Website Visitors,Slow-Mo Video,2348352637,Brand Awareness,Facebook+Instagram,$587.24,"  163,122 ",64
2021-10-04,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Chocolate Chunk Video,2340195723,Brand Awareness,Facebook+Instagram,$830.58,"  303,131 ",59
2021-10-04,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Chocolate Chunk Video,2345041086,Brand Awareness,Facebook+Instagram,$946.99,"  337,007 ",66
2021-10-04,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Chocolate Chunk Video,2344439122,Brand Awareness,Facebook+Instagram,"$2,283.94","  748,833 ",182
2021-10-04,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Chocolate Chunk Video,2342514859,Brand Awareness,Facebook+Instagram,$762.98,"  233,327 ",62
2021-10-04,Brand Awareness - Facebook+Instagram,Website Visitors,Chocolate Chunk Video,2340153859,Brand Awareness,Facebook+Instagram,$562.36,"  149,564 ",61
2021-10-04,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Chocolate Chunk Carousel,2348802358,Brand Awareness,Facebook+Instagram,$960.59,"  384,236 ",68
2021-10-04,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Chocolate Chunk Carousel,2344469921,Brand Awareness,Facebook+Instagram,$918.73,"  354,722 ",64
2021-10-04,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Chocolate Chunk Carousel,2343756859,Brand Awareness,Facebook+Instagram,"$2,394.49","  772,416 ",195
2021-10-04,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Chocolate Chunk Carousel,2343645835,Brand Awareness,Facebook+Instagram,$752.66,"  231,588 ",61
2021-10-04,Brand Awareness - Facebook+Instagram,Website Visitors,Chocolate Chunk Carousel,2343145229,Brand Awareness,Facebook+Instagram,$594.05,"  171,691 ",64
2021-10-04,Brand Awareness - Instagram Stories,Cookie Interests - 18-34,Cookie Poll,2341547820,Brand Awareness,Instagram Stories,$291.54,"  134,350 ",19
2021-10-04,Brand Awareness - Instagram Stories,Cookie Interests - 25-34,Cookie Poll,2343120456,Brand Awareness,Instagram Stories,$315.24,"  153,029 ",19
2021-10-04,Brand Awareness - Instagram Stories,Purchaser Lookalike Audience 2-5%,Cookie Poll,2344337612,Brand Awareness,Instagram Stories,$715.13,"  317,836 ",53
2021-10-04,Brand Awareness - Instagram Stories,Purchaser Lookalike Audience 1%,Cookie Poll,2345905323,Brand Awareness,Instagram Stories,$264.07,"  104,375 ",19
2021-10-04,Brand Awareness - Instagram Stories,Website Visitors,Cookie Poll,2341713241,Brand Awareness,Instagram Stories,$188.17,"  65,111 ",18
2021-10-05,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Slow-Mo Video,2348438397,Brand Awareness,Facebook+Instagram,$807.16,"  283,214 ",54
2021-10-05,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Slow-Mo Video,2341968907,Brand Awareness,Facebook+Instagram,$984.17,"  351,489 ",67
2021-10-05,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Slow-Mo Video,2344482216,Brand Awareness,Facebook+Instagram,"$2,278.59","  730,317 ",182
2021-10-05,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Slow-Mo Video,2343771880,Brand Awareness,Facebook+Instagram,$758.76,"  217,410 ",59
2021-10-05,Brand Awareness - Facebook+Instagram,Website Visitors,Slow-Mo Video,2348352637,Brand Awareness,Facebook+Instagram,$513.99,"  128,820 ",55
2021-10-05,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Chocolate Chunk Video,2340195723,Brand Awareness,Facebook+Instagram,$844.63,"  322,378 ",57
2021-10-05,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Chocolate Chunk Video,2345041086,Brand Awareness,Facebook+Instagram,$889.03,"  355,612 ",63
2021-10-05,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Chocolate Chunk Video,2344439122,Brand Awareness,Facebook+Instagram,"$2,494.18","  831,393 ",194
2021-10-05,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Chocolate Chunk Video,2342514859,Brand Awareness,Facebook+Instagram,$753.46,"  222,917 ",59
2021-10-05,Brand Awareness - Facebook+Instagram,Website Visitors,Chocolate Chunk Video,2340153859,Brand Awareness,Facebook+Instagram,$564.25,"  143,211 ",58
2021-10-05,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Chocolate Chunk Carousel,2348802358,Brand Awareness,Facebook+Instagram,$977.44,"  329,104 ",66
2021-10-05,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Chocolate Chunk Carousel,2344469921,Brand Awareness,Facebook+Instagram,$829.77,"  278,446 ",56
2021-10-05,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Chocolate Chunk Carousel,2343756859,Brand Awareness,Facebook+Instagram,"$2,368.59","  776,587 ",189
2021-10-05,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Chocolate Chunk Carousel,2343645835,Brand Awareness,Facebook+Instagram,$892.63,"  270,494 ",69
2021-10-05,Brand Awareness - Facebook+Instagram,Website Visitors,Chocolate Chunk Carousel,2343145229,Brand Awareness,Facebook+Instagram,$523.88,"  132,628 ",53
2021-10-05,Brand Awareness - Instagram Stories,Cookie Interests - 18-34,Cookie Poll,2341547820,Brand Awareness,Instagram Stories,$326.11,"  165,538 ",20
2021-10-05,Brand Awareness - Instagram Stories,Cookie Interests - 25-34,Cookie Poll,2343120456,Brand Awareness,Instagram Stories,$291.12,"  131,135 ",19
2021-10-05,Brand Awareness - Instagram Stories,Purchaser Lookalike Audience 2-5%,Cookie Poll,2344337612,Brand Awareness,Instagram Stories,$803.65,"  334,854 ",57
2021-10-05,Brand Awareness - Instagram Stories,Purchaser Lookalike Audience 1%,Cookie Poll,2345905323,Brand Awareness,Instagram Stories,$264.87,"  105,526 ",19
2021-10-05,Brand Awareness - Instagram Stories,Website Visitors,Cookie Poll,2341713241,Brand Awareness,Instagram Stories,$182.93,"  63,298 ",18
2021-10-06,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Slow-Mo Video,2348438397,Brand Awareness,Facebook+Instagram,$883.64,"  317,856 ",60
2021-10-06,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Slow-Mo Video,2341968907,Brand Awareness,Facebook+Instagram,$960.96,"  327,973 ",67
2021-10-06,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Slow-Mo Video,2344482216,Brand Awareness,Facebook+Instagram,"$2,259.41","  740,790 ",178
2021-10-06,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Slow-Mo Video,2343771880,Brand Awareness,Facebook+Instagram,$870.10,"  261,291 ",69
2021-10-06,Brand Awareness - Facebook+Instagram,Website Visitors,Slow-Mo Video,2348352637,Brand Awareness,Facebook+Instagram,$527.97,"  141,927 ",56
2021-10-06,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Chocolate Chunk Video,2340195723,Brand Awareness,Facebook+Instagram,$910.50,"  335,978 ",64
2021-10-06,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Chocolate Chunk Video,2345041086,Brand Awareness,Facebook+Instagram,$983.59,"  385,722 ",67
2021-10-06,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Chocolate Chunk Video,2344439122,Brand Awareness,Facebook+Instagram,"$2,483.61","  788,448 ",196
2021-10-06,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Chocolate Chunk Video,2342514859,Brand Awareness,Facebook+Instagram,$896.18,"  269,123 ",73
2021-10-06,Brand Awareness - Facebook+Instagram,Website Visitors,Chocolate Chunk Video,2340153859,Brand Awareness,Facebook+Instagram,$533.38,"  156,416 ",58
2021-10-06,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Chocolate Chunk Carousel,2348802358,Brand Awareness,Facebook+Instagram,$890.03,"  321,310 ",60
2021-10-06,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Chocolate Chunk Carousel,2344469921,Brand Awareness,Facebook+Instagram,$949.60,"  327,448 ",66
2021-10-06,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Chocolate Chunk Carousel,2343756859,Brand Awareness,Facebook+Instagram,"$2,002.01","  633,547 ",156
2021-10-06,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Chocolate Chunk Carousel,2343645835,Brand Awareness,Facebook+Instagram,$889.76,"  272,933 ",73
2021-10-06,Brand Awareness - Facebook+Instagram,Website Visitors,Chocolate Chunk Carousel,2343145229,Brand Awareness,Facebook+Instagram,$547.52,"  149,596 ",58
2021-10-06,Brand Awareness - Instagram Stories,Cookie Interests - 18-34,Cookie Poll,2341547820,Brand Awareness,Instagram Stories,$297.48,"  142,335 ",18
2021-10-06,Brand Awareness - Instagram Stories,Cookie Interests - 25-34,Cookie Poll,2343120456,Brand Awareness,Instagram Stories,$288.37,"  150,193 ",18
2021-10-06,Brand Awareness - Instagram Stories,Purchaser Lookalike Audience 2-5%,Cookie Poll,2344337612,Brand Awareness,Instagram Stories,$819.80,"  357,991 ",59
2021-10-06,Brand Awareness - Instagram Stories,Purchaser Lookalike Audience 1%,Cookie Poll,2345905323,Brand Awareness,Instagram Stories,$296.62,"  119,124 ",21
2021-10-06,Brand Awareness - Instagram Stories,Website Visitors,Cookie Poll,2341713241,Brand Awareness,Instagram Stories,$190.41,"  69,493 ",19
2021-10-07,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Slow-Mo Video,2348438397,Brand Awareness,Facebook+Instagram,$895.15,"  344,288 ",63
2021-10-07,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Slow-Mo Video,2341968907,Brand Awareness,Facebook+Instagram,$890.75,"  318,125 ",63
2021-10-07,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Slow-Mo Video,2344482216,Brand Awareness,Facebook+Instagram,"$2,424.17","  759,928 ",199
2021-10-07,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Slow-Mo Video,2343771880,Brand Awareness,Facebook+Instagram,$749.65,"  215,417 ",60
2021-10-07,Brand Awareness - Facebook+Instagram,Website Visitors,Slow-Mo Video,2348352637,Brand Awareness,Facebook+Instagram,$555.41,"  145,016 ",58
2021-10-07,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Chocolate Chunk Video,2340195723,Brand Awareness,Facebook+Instagram,$947.35,"  378,940 ",67
2021-10-07,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Chocolate Chunk Video,2345041086,Brand Awareness,Facebook+Instagram,$874.11,"  301,417 ",62
