Date,Google Analytics Source,Google Analytics Medium,Google Analytics Campaign,Google Analytics Content,Transactions,Revenue
2021-10-01,wholesalersRus,affiliate,20_off_promo,wholesale2_tid_8342,3,"$11,751.48"
2021-10-01,bing,ppc,october_ppc_cookie_campaign,cookie+gift+bundle,21,"$5,425.56"
2021-10-01,bing,ppc,october_ppc_cookie_campaign,cookies+wholesale,25,"$4,567.00"
2021-10-01,facebook,paid_social,october_cookie_campaign,2344608667,1,$289.98
2021-10-01,facebook,paid_social,october_cookie_campaign,2340153859,0,$0.00
2021-10-01,bing,ppc,october_ppc_cookie_campaign,cookies+order+online,24,"$4,972.08"
2021-10-01,pinterest,paid_social,october_cookie_campaign,89653701,1,$274.30
2021-10-01,instagram_stories,paid_social,october_cookie_campaign,2341547820,0,$0.00
2021-10-01,facebook,paid_social,october_cookie_campaign,2348802358,0,$0.00
2021-10-01,facebook,paid_social,october_cookie_campaign,2344541199,1,$227.73
2021-10-01,amazon,programmatic,always_on_cookies,56790933026,15,"$2,890.05"
2021-10-01,facebook,paid_social,october_cookie_campaign,2343756859,0,$0.00
2021-10-01,amazon,programmatic,always_on_cookies,56756903049,15,"$3,291.75"
2021-10-01,pinterest,paid_social,october_cookie_campaign,89651461,0,$0.00
2021-10-01,google,ppc,october_ppc_cookie_campaign,cookie+vouchers,124,"$22,946.20"
2021-10-01,facebook,paid_social,october_cookie_campaign,2340195723,0,$0.00
2021-10-01,facebook,paid_social,october_cookie_campaign,2340219276,1,$193.17
2021-10-01,facebook,paid_social,october_cookie_campaign,2347100098,1,$271.66
2021-10-01,facebook,paid_social,october_cookie_campaign,2348601871,1,$265.96
2021-10-01,pinterest,paid_social,october_cookie_campaign,89652298,0,$0.00
2021-10-01,pinterest,paid_social,october_cookie_campaign,89651342,0,$0.00
2021-10-01,facebook,paid_social,october_cookie_campaign,2343145229,0,$0.00
2021-10-01,facebook,paid_social,october_cookie_campaign,2343771880,0,$0.00
2021-10-01,google,ppc,october_ppc_cookie_campaign,chocolate+cookies+today,124,"$33,284.08"
2021-10-01,pinterest,paid_social,october_cookie_campaign,89654196,0,$0.00
2021-10-01,instagram_stories,paid_social,october_cookie_campaign,2343120456,0,$0.00
2021-10-01,bing,ppc,october_ppc_cookie_campaign,chocolate+cookies+today,21,"$4,096.47"
2021-10-01,facebook,paid_social,october_cookie_campaign,2344843950,1,$190.90
2021-10-01,facebook,paid_social,october_cookie_campaign,2341694718,1,$231.12
2021-10-01,facebook,paid_social,october_cookie_campaign,2348438397,0,$0.00
2021-10-01,facebook,paid_social,october_cookie_campaign,2342763326,1,$247.18
2021-10-01,facebook,paid_social,october_cookie_campaign,2345132842,0,$0.00
2021-10-01,facebook,paid_social,october_cookie_campaign,2344439122,0,$0.00
2021-10-01,facebook,paid_social,october_cookie_campaign,2346384085,1,$226.99
2021-10-01,facebook,paid_social,october_cookie_campaign,2345041086,0,$0.00
2021-10-01,google,ppc,october_ppc_cookie_campaign,cookies+order+online,104,"$20,007.52"
