Day,Platform,TSM: Platform,TSM: Audience,TSM: Customer Type,TSM: Product Type,TSM: Ad Type,TSM: Ad Content,TSM: Sales Kind,TSM: Platform Objective,TSM: Buying Objective,Spend,Impressions,Link Clicks,Video Views,TSM: Total Shopify Sales,TSM: Total Units Sold
01/10/2021,Amazon,Amazon,,,,productCollection,,,Conversion Campaign,,28.9,3335,20,0,0,0
01/10/2021,Amazon,Amazon,,,,,,,Conversion Campaign,autoForSales,55.71,60339,58,0,0,0
01/10/2021,Amazon,Amazon,,,,,,,Conversion Campaign,,0,187,0,0,0,0
01/10/2021,Facebook,Facebook,,,,Carousel,,,Conversion Campaign,CONVERSIONS,37.07,859,0,0,0,0
01/10/2021,Facebook,Facebook,,,,Collection,,,Conversion Campaign,CONVERSIONS,240.87,8188,51,50,0,0
01/10/2021,Facebook,Facebook,,,,Collection,,,Conversion Campaign,LINK_CLICKS,4.88,667,37,0,0,0
01/10/2021,Facebook,Facebook,,,,Image,,,Brand Awareness,STORE_VISITS,18.96,668,0,0,0,0
01/10/2021,Facebook,Facebook,,,,Image,,,Conversion Campaign,CONVERSIONS,14.09,159,1,0,0,0
01/10/2021,Facebook,Facebook,,,,Product Feed - Carousel,,,Conversion Campaign,PRODUCT_CATALOG_SALES,8.25,343,0,0,0,0
01/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,CONVERSIONS,403.07,12240,42,106,0,0
01/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,LEAD_GENERATION,50.65,1907,32,0,0,0
01/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,LINK_CLICKS,21.73,2316,92,189,0,0
01/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,PRODUCT_CATALOG_SALES,11.75,225,1,0,0,0
01/10/2021,Facebook,Facebook,,,,Video,,,Conversion Campaign,LINK_CLICKS,2.48,189,18,14,0,0
01/10/2021,Facebook,Facebook,,,"'-,Hats,Sweatshirts",Carousel,6242596090800,order,Conversion Campaign,PRODUCT_CATALOG_SALES,19.33,600,4,0,131.34,2
01/10/2021,Facebook,Facebook,,,"'-,Sweatshirts",Product Feed - Carousel,,order,Conversion Campaign,PRODUCT_CATALOG_SALES,55.82,1410,6,0,125,1
01/10/2021,Facebook,Facebook,,,"'-,Sweatshirts",Product Feed - Image,,return,Conversion Campaign,CONVERSIONS,45.14,1645,5,0,0,0
01/10/2021,Facebook,Facebook,,,"'-,Sweatshirts",Product Feed - Image,6245878621000,order,Conversion Campaign,CONVERSIONS,11.15,434,8,0,150,1
01/10/2021,Facebook,Facebook,,,"'-,Sweatshirts,T-Shirts",Product Feed - Carousel,6242595096200,order,Conversion Campaign,PRODUCT_CATALOG_SALES,228.02,6114,42,0,192.95,2
01/10/2021,Facebook,Facebook,,,"'-,T-Shirts",Collection,,order,Conversion Campaign,CONVERSIONS,9.02,275,10,0,128,2
01/10/2021,Facebook,Facebook,,,"'-,T-Shirts",Product Feed - Image,6245878880600,order,Conversion Campaign,CONVERSIONS,44.56,2971,12,0,240,4
01/10/2021,Facebook,Facebook,,,"'-,T-Shirts",Product Feed - Image,6247117489600,order,Conversion Campaign,CONVERSIONS,64.74,1327,25,113,294,3
01/10/2021,Google Ads,Google Ads Display,Image ad,,,Image ad,,,Conversion Campaign,Maximize Conversions,1.22,1581,1,0,0,0
01/10/2021,Google Ads,Google Ads Display,Responsive display ad,,,Responsive display ad,,,Conversion Campaign,Maximize Conversions,14.92,10439,55,0,0,0
01/10/2021,Google Ads,Google Search,Expanded dynamic search ad,,,Expanded dynamic search ad,,,Conversion Campaign,Target CPA,12.5,28,6,0,0,0
01/10/2021,Google Ads,Google Search,Expanded text ad,,,Expanded text ad,,,Conversion Campaign,Maximize Conversion Value,103.57,140,21,0,0,0
01/10/2021,Google Ads,Google Search,Expanded text ad,,,Expanded text ad,,,Conversion Campaign,Target ROAS,29.84,293,6,0,0,0
01/10/2021,Google Ads,Google Search,Expanded text ad,,-,Expanded text ad,,return,Conversion Campaign,Maximize Conversion Value,3.86,34,12,0,-2.5,0
01/10/2021,Google Ads,Google Search,Expanded text ad,,Sweatshirts,Expanded text ad,,return,Conversion Campaign,Maximize Conversion Value,4.54,38,7,0,-158.77,0
01/10/2021,Google Ads,Google Search,Expanded text ad,,T-Shirts,Expanded text ad,,return,Conversion Campaign,Target ROAS,1.21,17,1,0,-214.62,0
01/10/2021,Google Ads,Google Search,Responsive search ad,,,Responsive search ad,,,Conversion Campaign,Maximize Conversion Value,18.35,19,7,0,0,0
01/10/2021,Google Ads,Google Search,Responsive search ad,,,Responsive search ad,,,Conversion Campaign,Target ROAS,41.88,421,17,0,0,0
01/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,Bottoms,Sweatshirts,Swim,T-Shirts",Responsive search ad,515077750017,"order,return",Conversion Campaign,Maximize Conversion Value,40.62,91,32,0,407.3,11
